SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1603 Morehead Ave,Fayetteville,NC,28303,217000,3,2.0,ENGLEWOOD,1474,,1972,1,147,,Active,,,https://www.redfin.com/NC/Fayetteville/1603-Morehead-Ave-28303/home/125484518,LPRMLS,704023,N,Y,35.0882229,-78.9319401
MLS Listing,,Single Family Residential,4037 Welmont Dr,Fayetteville,NC,28304,129900,4,1.0,WELMAR HGTS,1475,16117,1960,1,88,,Active,,,https://www.redfin.com/NC/Fayetteville/4037-Welmont-Dr-28304/home/126619572,LPRMLS,704021,N,Y,35.021226,-78.9448889
MLS Listing,,Mobile/Manufactured Home,2773 Mosquera Dr,Fayetteville,NC,28306,380000,5,3.5,PALMS AT SUMMER GROVE,2450,11761,2016,1,155,13,Active,,,https://www.redfin.com/NC/Fayetteville/2773-Mosquera-Dr-28306/home/126978817,LPRMLS,701371,N,Y,35.0039069,-79.0017899
MLS Listing,,Single Family Residential,2439 Dartmouth Dr,Fayetteville,NC,28304,299900,4,2.0,BRIARWOOD HILLS,2183,16553,1971,1,137,,Active,,,https://www.redfin.com/NC/Fayetteville/2439-Dartmouth-Dr-28304/home/125910306,LPRMLS,704009,N,Y,35.0318241,-78.913641
MLS Listing,,Single Family Residential,5165 Surf Scooter Dr,Fayetteville,NC,28311,139900,2,2.0,NORTH RIDGE VIL,1079,6534,1989,1,130,,Active,,,https://www.redfin.com/NC/Fayetteville/5165-Surf-Scooter-Dr-28311/home/126222973,LPRMLS,703588,N,Y,35.1294967,-78.8778582
MLS Listing,,Single Family Residential,6442 Green Meadow Rd,Fayetteville,NC,28304,176000,3,1.5,LAKE POINT,1100,,1984,1,160,,Active,,,https://www.redfin.com/NC/Fayetteville/6442-Green-Meadow-Rd-28304/home/126822107,LPRMLS,702282,N,Y,35.017029,-79.0123447
MLS Listing,,Single Family Residential,4516 Port Ellen Dr,Fayetteville,NC,28312,395000,4,3.0,BAYWOOD,3181,23958,2000,1,124,,Active,,,https://www.redfin.com/NC/Fayetteville/4516-Port-Ellen-Dr-28312/home/125705959,LPRMLS,704015,N,Y,35.0523738,-78.7501226
MLS Listing,,Single Family Residential,1439 Habersham Dr,Fayetteville,NC,28304,210000,3,2.0,GLENDALE AC,1420,15246,1963,1,148,,Active,,,https://www.redfin.com/NC/Fayetteville/1439-Habersham-Dr-28304/home/126659572,LPRMLS,703606,N,Y,35.0372166,-78.9276892
MLS Listing,,Single Family Residential,5723 Waldwick Rd,Fayetteville,NC,28311,255000,4,2.5,KINWOOD,2026,,1985,1,126,,Active,,,https://www.redfin.com/NC/Fayetteville/5723-Waldwick-Rd-28311/home/125629992,LPRMLS,703940,N,Y,35.1376538,-78.8650033
MLS Listing,,Single Family Residential,941 Winterberry Dr,Fayetteville,NC,28314,195900,3,2.0,LAKE RIM NORTH,1072,,1985,1,183,,Active,,,https://www.redfin.com/NC/Fayetteville/941-Winterberry-Dr-28314/home/125741011,LPRMLS,704012,N,Y,35.0416575,-79.0451941
MLS Listing,,Single Family Residential,452 Georgetown Cir,Fayetteville,NC,28314,265000,3,2.5,LAKE SHORE,2168,,1987,1,122,,Active,,,https://www.redfin.com/NC/Fayetteville/452-Georgetown-Cir-28314/home/126701687,LPRMLS,703932,N,Y,35.0675661,-78.9880882
MLS Listing,,Single Family Residential,737 Galloway Dr,Fayetteville,NC,28303,279900,3,2.0,COTTONADE,2320,,1966,1,121,,Active,,,https://www.redfin.com/NC/Fayetteville/737-Galloway-Dr-28303/home/125911265,LPRMLS,704011,N,Y,35.1051698,-78.9777613
MLS Listing,,Single Family Residential,7713 Charring Cross Ln,Fayetteville,NC,28314,278000,4,2.5,KINGS MILL,2125,,1988,2,131,,Active,,,https://www.redfin.com/NC/Fayetteville/7713-Charring-Cross-Ln-28314/home/125681219,LPRMLS,704005,N,Y,35.0449259,-79.0657193
MLS Listing,,Single Family Residential,1111 Branson St,Fayetteville,NC,28305,205000,3,2.0,PINEVIEW HGTS,1060,,1950,2,193,,Active,,,https://www.redfin.com/NC/Fayetteville/1111-Branson-St-28305/home/125533682,LPRMLS,703999,N,Y,35.052537,-78.8992401
MLS Listing,,Single Family Residential,3153 Hunting Lodge Rd,Fayetteville,NC,28306,350000,3,2.5,PEARTREE WEST,2049,10454,2019,2,171,20,Active,,,https://www.redfin.com/NC/Fayetteville/3153-Hunting-Lodge-Rd-28306/home/174986897,LPRMLS,703998,N,Y,34.9677522,-79.0317952
MLS Listing,,Single Family Residential,3441 Amour Dr,Fayetteville,NC,28306,600000,5,4.0,WESTHAVEN,3325,,2018,2,180,36,Active,,,https://www.redfin.com/NC/Fayetteville/3441-Amour-Dr-28306/home/148580165,LPRMLS,703868,N,Y,34.9902935,-79.043009
MLS Listing,,Single Family Residential,1546 Hazelcrest Dr,Fayetteville,NC,28304,409900,5,3.5,ASBURY,3186,,2005,2,129,,Active,,,https://www.redfin.com/NC/Fayetteville/1546-Hazelcrest-Dr-28304/home/126474904,LPRMLS,703993,N,Y,35.026996,-79.0044177
MLS Listing,,Single Family Residential,6483 Summerchase Dr,Fayetteville,NC,28311,479000,5,3.0,GREYSTONE FARMS,3887,,1945,2,123,28,Active,,,https://www.redfin.com/NC/Fayetteville/6483-Summerchase-Dr-28311/home/125714224,LPRMLS,703988,N,Y,35.1578281,-78.8679665
MLS Listing,,Single Family Residential,672 Dowfield Dr Dr,Fayetteville,NC,28311,198000,3,2.0,DREXEL,1231,11326,1978,2,161,,Active,,,https://www.redfin.com/NC/Fayetteville/672-Dowfield-Dr-28311/home/125491594,LPRMLS,703729,N,Y,35.1157109,-78.9035617
MLS Listing,,Vacant Land,1617 Coley Dr,Fayetteville,NC,28301,15000,,,Not in a Subdivision,,6098,,2,,,Active,,,https://www.redfin.com/NC/Fayetteville/1617-Coley-Dr-28301/home/126758159,TMLS,2509170,N,Y,35.0774244,-78.9006532
MLS Listing,,Single Family Residential,715 Murray Hill Rd,Fayetteville,NC,28303,415000,4,2.5,MCPHERSON,2340,17424,1979,2,177,,Active,,,https://www.redfin.com/NC/Fayetteville/715-Murray-Hill-Rd-28303/home/126725002,LPRMLS,703971,N,Y,35.05217,-78.9398952
MLS Listing,,Single Family Residential,6898 Beaverstone Dr,Fayetteville,NC,28314,255000,3,2.0,CLIFFDALE WEST,1632,,1982,2,156,,Active,,,https://www.redfin.com/NC/Fayetteville/6898-Beaverstone-Dr-28314/home/126094802,LPRMLS,700201,N,Y,35.0653256,-79.070883
MLS Listing,,Single Family Residential,2517 Canford Ln,Fayetteville,NC,28304,305000,4,3.0,FARRINGTON,2550,14810,2005,2,120,,Active,,,https://www.redfin.com/NC/Fayetteville/2517-Canford-Ln-28304/home/126647609,LPRMLS,703963,N,Y,35.0304619,-79.0763554
MLS Listing,,Single Family Residential,3472 Mcchoen Dr,Fayetteville,NC,28311,245000,3,2.5,Lakeridge,1730,9583,1988,2,142,,Active,,,https://www.redfin.com/NC/Fayetteville/3472-McChoen-Dr-28311/home/125249594,TMLS,2509152,N,Y,35.1060283,-78.9044459
